id_paciente,nome,cpf,data_nascimento,telefone,email,,,,,,
1,Carlos Silva,12345678901,12/04/1985,11999998888,carlos.silva@email.com,,,,,,
2,Ana Beatriz Souza,98765432100,23/08/1992,21988887777,ana.souza@email.com,,,,,,
3,Marcos Oliveira,45678912344,05/11/1978,31977776666,marcos.o@email.com,,,,,,
4,Julia Costa,32165498711,17/02/2001,11966665555,julia.costa@email.com,,,,,,
5,Ricardo Almeida,78912345688,30/06/1965,11955554444,ralmeida@email.com,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
